Year Purchased,Manufacturer,Model,Number,Aprox. Unit Price,,Authority,Request data,Notes,Order of Entry,0
2006,Dynavox,Minimo,1, £-   , £-   ,Aneurin Bevan Local Health Board ,http://www.whatdotheyknow.com/request/aac_purchases_3/new,,1,
2006,Possum,SAY-IT! SAM,1," £3,200.00 "," £3,200.00 ",Aneurin Bevan Local Health Board ,http://www.whatdotheyknow.com/request/aac_purchases_3/new,,2,
2006,Toby Churchill,adVOCATe,1, £474.00 , £474.00 ,Aneurin Bevan Local Health Board ,http://www.whatdotheyknow.com/request/aac_purchases_3/new,,3,
2006,Possum,SAY-IT! SAM,1," £3,200.00 "," £3,200.00 ",Aneurin Bevan Local Health Board ,http://www.whatdotheyknow.com/request/aac_purchases_3/new,,4,
2006,Dynavox,Minimo,1, £-   , £-   ,Aneurin Bevan Local Health Board ,http://www.whatdotheyknow.com/request/aac_purchases_3/new,,5,
2008,EchoVoice,EV5 speech Amplifier,1, £378.00 , £378.00 ,Aneurin Bevan Local Health Board ,http://www.whatdotheyknow.com/request/aac_purchases_3/new,,6,
2008,Possum,SAY-IT! SAM,1," £3,200.00 "," £3,200.00 ",Aneurin Bevan Local Health Board ,http://www.whatdotheyknow.com/request/aac_purchases_3/new,,7,
2008,Toby Churchill,Lightwriter ,1," £3,045.00 "," £3,045.00 ",Aneurin Bevan Local Health Board ,http://www.whatdotheyknow.com/request/aac_purchases_3/new,,8,
2008,Dynavox,V Max,1," £7,044.13 "," £7,044.13 ",Aneurin Bevan Local Health Board ,http://www.whatdotheyknow.com/request/aac_purchases_3/new,,9,
2008,Dynavox,Dynawrite,1, £-   , £-   ,Aneurin Bevan Local Health Board ,http://www.whatdotheyknow.com/request/aac_purchases_3/new,,10,
2008,Toby Churchill,SL35 Lightwriter,1," £2,930.00 "," £2,930.00 ",Aneurin Bevan Local Health Board ,http://www.whatdotheyknow.com/request/aac_purchases_3/new,,11,
2008,Toby Churchill,SL35 Lightwriter,1," £2,930.00 "," £2,930.00 ",Aneurin Bevan Local Health Board ,http://www.whatdotheyknow.com/request/aac_purchases_3/new,,12,
2009,Liberator,Springboard Lite ,1," £1,794.00 "," £1,794.00 ",Aneurin Bevan Local Health Board ,http://www.whatdotheyknow.com/request/aac_purchases_3/new,,13,
2009,EchoVoice,EV5 speech Amplifier,1, £378.00 , £378.00 ,Aneurin Bevan Local Health Board ,http://www.whatdotheyknow.com/request/aac_purchases_3/new,,14,
2009,Dynavox,V Max,1," £7,044.13 "," £7,044.13 ",Aneurin Bevan Local Health Board ,http://www.whatdotheyknow.com/request/aac_purchases_3/new,,15,
2010,Logan,Proxtalker,1," £1,695.00 "," £1,695.00 ",Aneurin Bevan Local Health Board ,http://www.whatdotheyknow.com/request/aac_purchases_3/new,,16,
2010,Possum,Jive,1," £2,395.00 "," £2,395.00 ",Aneurin Bevan Local Health Board ,http://www.whatdotheyknow.com/request/aac_purchases_3/new,,17,
2010,Falck,Voice Amplifier,1, £621.89 , £621.89 ,Aneurin Bevan Local Health Board ,http://www.whatdotheyknow.com/request/aac_purchases_3/new,,18,
2010,EchoVoice,EV5 speech Amplifier,1, £378.00 , £378.00 ,Aneurin Bevan Local Health Board ,http://www.whatdotheyknow.com/request/aac_purchases_3/new,,19,
2010,Apple,iPod,1, £-   , £-   ,Aneurin Bevan Local Health Board ,http://www.whatdotheyknow.com/request/aac_purchases_3/new,,20,
2010,AMDi,Partner Four Plus,1, £199.00 , £199.00 ,Aneurin Bevan Local Health Board ,http://www.whatdotheyknow.com/request/aac_purchases_3/new,,21,
2011,Liberator,Springboard Lite ,1," £1,794.00 "," £1,794.00 ",Aneurin Bevan Local Health Board ,http://www.whatdotheyknow.com/request/aac_purchases_3/new,,22,
2008,Toby Churchill,adVOCATe,3, £474.00 ," £1,422.00 ",Cardiff and Vale University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,23,
2008,Dynavox,DV4,7, £-   , £-   ,Cardiff and Vale University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,24,
2008,Dynavox,M3,1, £-   , £-   ,Cardiff and Vale University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,25,
2008,Dynavox,DV4,2, £-   , £-   ,Cardiff and Vale University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,26,
2008,Dynavox,MT4,1, £-   , £-   ,Cardiff and Vale University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,27,
2008,Attainment Company Inc,Go Talk 4+,1, £94.00 , £94.00 ,Cardiff and Vale University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,28,
2008,Ablenet,iTalk2 Communication Aid,1, £95.00 , £95.00 ,Cardiff and Vale University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,29,
2008,Dynavox,V Max,1," £7,044.13 "," £7,044.13 ",Cardiff and Vale University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,30,
2008,Possum,SAY-IT! SAM,1," £3,200.00 "," £3,200.00 ",Cardiff and Vale University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,31,
2008,Ablenet,Big Mack,1, £84.00 , £84.00 ,Cardiff and Vale University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,32,
2008,Ablenet,iTalk2 Communication Aid,1, £95.00 , £95.00 ,Cardiff and Vale University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,33,
2008,Tobii,MyTobii P10,1," £12,480.00 "," £12,480.00 ",Cardiff and Vale University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,34,
2008,Dynavox,V Max,2," £7,044.13 "," £14,088.26 ",Cardiff and Vale University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,35,
2008,Ablenet,Big Mack,1, £84.00 , £84.00 ,Cardiff and Vale University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,36,
2008,Toby Churchill,SL40 LIGHTWRITER,1," £3,300.00 "," £3,300.00 ",Cardiff and Vale University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,37,
2008,SMARTBOX ASSISTIVE TECHNOLOGY LTD                                ,Powerbox 7,1," £3,950.00 "," £3,950.00 ",Cardiff and Vale University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,38,
2011,Logan,Proxtalker,1," £1,695.00 "," £1,695.00 ",Cardiff and Vale University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,39,
2011,Dynavox,Xpress,2," £4,694.13 "," £9,388.26 ",Cardiff and Vale University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,40,
2011,Liberator,E-Tran Frame,2, £120.00 , £240.00 ,Cardiff and Vale University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,41,
2011,Toby Churchill,SL40 LIGHTWRITER,1," £3,300.00 "," £3,300.00 ",Cardiff and Vale University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,42,
2011,Toby Churchill,adVOCATe,5, £474.00 ," £2,370.00 ",Cardiff and Vale University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,43,
2011,Tobii,S32,1, £725.00 , £725.00 ,Cardiff and Vale University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,44,
2011,Apple,iPod,2, £-   , £-   ,Cardiff and Vale University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,45,
2011,Unitech,Pen Scanner,3, £89.16 , £267.48 ,Cardiff and Vale University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,46,
2011,Dynavox,M3,2, £-   , £-   ,Cardiff and Vale University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,47,
2011,Toby Churchill,SL40 LIGHTWRITER,4," £3,300.00 "," £13,200.00 ",Cardiff and Vale University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,48,
2011,Apple,iPad,1, £-   , £-   ,Cardiff and Vale University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,49,
2011,Dynavox,V Max,2," £7,044.13 "," £14,088.26 ",Cardiff and Vale University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,50,
2011,Toby Churchill,adVOCATe,1, £474.00 , £474.00 ,Cardiff and Vale University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,51,
2011,Toby Churchill,Vocaflex ,1, £784.00 , £784.00 ,Cardiff and Vale University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,52,
2011,Possum,Jive,1," £2,395.00 "," £2,395.00 ",Cardiff and Vale University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,53,
2011,Liberator,MegaBee,1, £768.00 , £768.00 ,Cardiff and Vale University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,54,
2011,Toby Churchill,Mini Voice Amplifier,2, £195.00 , £390.00 ,Cardiff and Vale University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,55,
2011,Apple,iPhone,1, £-   , £-   ,Cardiff and Vale University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,56,
2011,Apple,iPad,1, £-   , £-   ,Cardiff and Vale University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,57,
2011,Liberator,SuperVoca,1," £2,500.00 "," £2,500.00 ",Cardiff and Vale University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,58,
2011,Unitech,Pen Scanner,3, £89.16 , £267.48 ,Cardiff and Vale University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,59,
2011,Ablenet,iTalk2 Communication Aid,2, £95.00 , £190.00 ,Cardiff and Vale University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,60,
2011,Attainment Company Inc,Go Talk 9+,1, £104.00 , £104.00 ,Cardiff and Vale University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,61,
2011,Tobii,C8,1," £4,840.00 "," £4,840.00 ",Cardiff and Vale University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,62,
2011,Liberator,Springboard Lite ,1," £1,794.00 "," £1,794.00 ",Cardiff and Vale University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_4/new,,63,
2006,Servox,Digital Electronic Larynx,2, £520.00 ," £1,040.00 ",Betsi Cadwaladr University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261833,,64,
2006,Liberator,E-Tran Frame,2, £120.00 , £240.00 ,Betsi Cadwaladr University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261834,,65,
2006,Ablenet,LITTLEMACK,5, £84.00 , £420.00 ,Betsi Cadwaladr University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261835,,66,
2006,AMDi,Tech/Speak 32 - 32 x 6 Levels,2, £595.00 ," £1,190.00 ",Betsi Cadwaladr University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261836,,67,
2006,Attainment Company Inc,GO TALK 9+,2, £104.00 , £208.00 ,Betsi Cadwaladr University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261837,,68,
2006,Attainment Company Inc,GO TALK 20+,3, £114.00 , £342.00 ,Betsi Cadwaladr University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261838,,69,
2006,Ablenet,Big Mack,6, £84.00 , £504.00 ,Betsi Cadwaladr University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261839,,70,
2006,Toby Churchill,SL35 Lightwriter,1," £2,930.00 "," £2,930.00 ",Betsi Cadwaladr University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261840,,71,
2006,Augmentative Communication Inc.,TALKING PHOTO ALBUM,5, £18.91 , £94.55 ,Betsi Cadwaladr University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261841,,72,
2006,Falck,Voice Amplifier,2, £621.89 ," £1,243.78 ",Betsi Cadwaladr University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261842,,73,
2006,Ablenet,iTalk2 Communication Aid,1, £95.00 , £95.00 ,Betsi Cadwaladr University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261843,,74,
2006,AMDi,Partner Four Plus,1, £199.00 , £199.00 ,Betsi Cadwaladr University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261844,,75,
2006,Liberator,ChatPC,2," £1,995.00 "," £3,990.00 ",Betsi Cadwaladr University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261845,Was CHAT PC-II,76,
2006,EchoVoice,EV5 speech Amplifier,2, £378.00 , £756.00 ,Betsi Cadwaladr University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261846,,77,
2007,AMDi,Tech/Scan 32 plus ECU,1," £1,660.00 "," £1,660.00 ",Betsi Cadwaladr University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261847,assuming 'ecu' was missed off the end,78,
2007,EchoVoice,EV5 speech Amplifier,4, £378.00 ," £1,512.00 ",Betsi Cadwaladr University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261848,,79,
2007,Toby Churchill,SL35 Lightwriter,2," £2,930.00 "," £5,860.00 ",Betsi Cadwaladr University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261849,,80,
2007,Liberator,ChatPC,1," £1,995.00 "," £1,995.00 ",Betsi Cadwaladr University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261850,"was ""CHAT PC-M3""",81,
2007,Servox,Digital Electronic Larynx,2, £520.00 ," £1,040.00 ",Betsi Cadwaladr University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261851,,82,
2007,Ablenet,BIG MACK,1, £84.00 , £84.00 ,Betsi Cadwaladr University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261852,,83,
2007,AMDi,Tech/Scan 8,1, £795.00 , £795.00 ,Betsi Cadwaladr University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261853,,84,
2007,AMDi,Tech/Speak 32 - 32 x 4 Levels,5, £459.00 ," £2,295.00 ",Betsi Cadwaladr University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261854,,85,
2007,Winslow,SWALLOW REMINDER,4, £70.74 , £282.96 ,Betsi Cadwaladr University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261855,,86,
2007,Liberator,4Talk4,2, £229.00 , £458.00 ,Betsi Cadwaladr University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261856,,87,
2007,Inclusive,SUPERTALKER,1, £220.00 , £220.00 ,Betsi Cadwaladr University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261857,,88,
2007,AMDi,Tech/Talk 8 - 8 x 6 Levels,1, £349.00 , £349.00 ,Betsi Cadwaladr University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261858,,89,
2008,Dynavox,BOARDMAKER ACTIVITY PAD,1, £895.00 , £895.00 ,Betsi Cadwaladr University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261859,,90,
2008,Winslow,SWALLOW REMINDER,4, £70.74 , £282.96 ,Betsi Cadwaladr University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261860,,91,
2008,Augmentative Communication Inc.,TALKING PHOTO ALBUM,10, £18.91 , £189.10 ,Betsi Cadwaladr University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261861,,92,
2008,AMDi,Tech/Speak 32 - 32 x 6 Levels,1, £595.00 , £595.00 ,Betsi Cadwaladr University Local Health Board,http://www.whatdotheyknow.com/request/aac_purchases_6#incoming-261862,,93,
