Year Purchased,Manufacturer,Model,Number,Aprox. Unit Price,,Authority,Request data,Notes,0rder of Entry,
02/03/07,#N/A,Airlink Remote Switch,1,,  £-   ,Cwm Taf,http://www.whatdotheyknow.com/request/aac_purchases_7,,166,
02/03/07,#N/A,Jelly Bean Switches,1,,  £-   ,Cwm Taf,http://www.whatdotheyknow.com/request/aac_purchases_7,,167,
12/03/09,#N/A,"Joggle Switch, Large, Yellow. PG-JS-LY.",1,,  £-   ,Cwm Taf,http://www.whatdotheyknow.com/request/aac_purchases_7,,168,
19/06/07,#N/A,Medium Access switch,1,,  £-   ,Cwm Taf,http://www.whatdotheyknow.com/request/aac_purchases_7,,169,
19/06/07,#N/A,Small Access switch,1,,  £-   ,Cwm Taf,http://www.whatdotheyknow.com/request/aac_purchases_7,,170,
19/06/07,#N/A,Super Bumpy Switch,1,,  £-   ,Cwm Taf,http://www.whatdotheyknow.com/request/aac_purchases_7,,171,
06/06/07,#N/A,Go Talk communication aid.,1,,  £-   ,Cwm Taf,http://www.whatdotheyknow.com/request/aac_purchases_7,,172,
26/02/07,Liberator,E-Tran Frame,1, £120.00 , £120.00 ,Cwm Taf,http://www.whatdotheyknow.com/request/aac_purchases_7,,173,
26/02/07,Ablenet,Big Mack,1, £84.00 , £84.00 ,Cwm Taf,http://www.whatdotheyknow.com/request/aac_purchases_7,,174,
18/12/06,Liberator,E-Tran Frame,1, £120.00 , £120.00 ,Cwm Taf,http://www.whatdotheyknow.com/request/aac_purchases_7,,175,
15/11/06,Augmentative Communication Inc.,talking photo album,1, £18.91 , £18.91 ,Cwm Taf,http://www.whatdotheyknow.com/request/aac_purchases_7,,176,
