Year Purchased,Manufacturer,Model,Number, Unit Price , Total Price ,Authority,Request data,Notes,Order of entry,76,76
2009,Attainment Company Inc,Go Talk 9+,4, £104.00 , £416.00 ,Dumfries and Galloway NHS Board,http://www.whatdotheyknow.com/request/aac_provision_4/new,,38,,
2010,Dynavox,Boardmaker,1, £209.00 , £209.00 ,Dumfries and Galloway NHS Board,http://www.whatdotheyknow.com/request/aac_provision_4/new,Guessed a bit splitting these two up from 1 Board Make Plus & 1 Talk 2 Aid,39,,
2010,Ablenet,iTalk2 Communication Aid,1, £95.00 , £95.00 ,Dumfries and Galloway NHS Board,http://www.whatdotheyknow.com/request/aac_provision_4/new,Guessed a bit splitting these two up from 1 Board Make Plus & 1 Talk 2 Aid,39.1,,
2010,MegaBee,MegaBee,2, £786.00 ," £1,572.00 ",Dumfries and Galloway NHS Board,http://www.whatdotheyknow.com/request/aac_provision_4/new,,40,,
2010,AMDi,Partner Four Plus,1, £199.00 , £199.00 ,Dumfries and Galloway NHS Board,http://www.whatdotheyknow.com/request/aac_provision_4/new,,41,,
2010,Inclusive,Jelly Bean twist,2, £30.00 , £60.00 ,Dumfries and Galloway NHS Board,http://www.whatdotheyknow.com/request/aac_provision_4/new,,42,,
2010,Augmentative Communication Inc.,Talking Photo Album,3, £18.91 , £56.73 ,Dumfries and Galloway NHS Board,http://www.whatdotheyknow.com/request/aac_provision_4/new,,43,,
2010,Ablenet,Big Mack,6, £84.00 , £504.00 ,Dumfries and Galloway NHS Board,http://www.whatdotheyknow.com/request/aac_provision_4/new,,44,,
2010,Toby Churchill,Lightwriter ,1," £3,045.00 "," £3,045.00 ",Dumfries and Galloway NHS Board,http://www.whatdotheyknow.com/request/aac_provision_4/new,,45,,
2010,Inclusive,Jelly Bean twist,2, £30.00 , £60.00 ,Dumfries and Galloway NHS Board,http://www.whatdotheyknow.com/request/aac_provision_4/new,,46,,
2010,#N/A,Finger Button,1,#N/A,#N/A,Dumfries and Galloway NHS Board,http://www.whatdotheyknow.com/request/aac_provision_4/new,,47,,
2010,Liberator,Springboard Lite ,1," £1,794.00 "," £1,794.00 ",Dumfries and Galloway NHS Board,http://www.whatdotheyknow.com/request/aac_provision_4/new,,48,,
2010,Toby Churchill,Lightwriter ,1," £3,045.00 "," £3,045.00 ",Dumfries and Galloway NHS Board,http://www.whatdotheyknow.com/request/aac_provision_4/new,,49,,
2010,?,Switch Box,1,#N/A,#N/A,Dumfries and Galloway NHS Board,http://www.whatdotheyknow.com/request/aac_provision_4/new,,50,,
2010,Toby Churchill,Lightwriter ,1," £3,045.00 "," £3,045.00 ",Dumfries and Galloway NHS Board,http://www.whatdotheyknow.com/request/aac_provision_4/new,,51,,
2010,?,Switch Box,1,#N/A,#N/A,Dumfries and Galloway NHS Board,http://www.whatdotheyknow.com/request/aac_provision_4/new,,52,,
2011,Apple,iPod,2, £249.00 , £498.00 ,Dumfries and Galloway NHS Board,http://www.whatdotheyknow.com/request/aac_provision_4/new,,53,,
2011,#N/A,Case for iPod Touch and i Tunes Vouchers,2,#N/A,#N/A,Dumfries and Galloway NHS Board,http://www.whatdotheyknow.com/request/aac_provision_4/new,,53.1,,
2011,#N/A,Smartbox Software & Joycable,1,#N/A,#N/A,Dumfries and Galloway NHS Board,http://www.whatdotheyknow.com/request/aac_provision_4/new,,54,,
2011,Attainment Company Inc,Go Talk 4+,1, £94.00 , £94.00 ,Dumfries and Galloway NHS Board,http://www.whatdotheyknow.com/request/aac_provision_4/new,,55,,
2011,Dynavox,"""A Dynavox""",2," £4,126.24 "," £8,252.48 ",Dumfries and Galloway NHS Board,http://www.whatdotheyknow.com/request/aac_provision_4/new,,56,,
2005,#N/A,Alphatalkers,3,#N/A,#N/A,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new,,57,,
2005,Saltillo,Bluebird,1, £-   , £-   ,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new,,58,,
2005,NovitaTech,Cardinal,2, £446.48 , £892.96 ,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new,,59,,
2005,Saltillo,Chatbox,1, £320.20 , £320.20 ,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new,,60,,
2005,Dynavox,DV4,2," £5,825.00 "," £11,650.00 ",Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new,,61,,
2005,Ablenet,FL4SH Scanning Communicator,4, £675.00 ," £2,700.00 ",Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new,Means FL4SH with delux accessories…,62,,
